serie_name,start_year,end_year,still_watching,stopped_year,ranking_score,category
House of the Dragon,2022,2025,yes,,10,fantasy
The Last Dance,2020,2020,no,2020,8,docu
Top Boy,2013,2023,no,2021,7,drama
Squid Game,2021,2025,yes,,9,thriller
Lupin,2021,2023,yes,,8,mystery
The Crown,2016,2023,no,2021,7,drama
The Office,2005,2013,no,2012,5,comedy
Black Mirror,2011,2023,yes,,9,sci‑fi
Dark,2017,2020,no,2019,10,sci‑fi
Peaky Blinders,2013,2022,no,2021,7,thriller
Severance,2022,2025,yes,,10,sci‑fi
Arcane,2022,2025,yes,,10,animation
Better Call Saul,2015,2022,no,2022,9,drama
Ted Lasso,2020,2023,yes,,8,comedy
The Witcher,2019,2025,yes,,6,fantasy
